Level,Region,Division,School_ID ,Province,Modified_ClassOrg_BasedonEnrollment,IndexScore
ES,Region II,Nueva Vizcaya,103982,NUEVA VIZCAYA,Combined Monograde and Multigrade,0.21
ES,Region II,Nueva Vizcaya,103983,NUEVA VIZCAYA,Monograde,0.21
ES,Region II,Nueva Vizcaya,103984,NUEVA VIZCAYA,Monograde,0.02
ES,Region II,Nueva Vizcaya,103985,NUEVA VIZCAYA,Monograde,0.02
ES,Region II,Nueva Vizcaya,103986,NUEVA VIZCAYA,Monograde,0.02
ES,Region II,Nueva Vizcaya,103987,NUEVA VIZCAYA,Monograde,0.25
ES,Region II,Nueva Vizcaya,103988,NUEVA VIZCAYA,Combined Monograde and Multigrade,0.14
ES,Region II,Nueva Vizcaya,103989,NUEVA VIZCAYA,Monograde,0.24
ES,Region II,Nueva Vizcaya,103990,NUEVA VIZCAYA,Combined Monograde and Multigrade,0.05
ES,Region II,Nueva Vizcaya,103991,NUEVA VIZCAYA,Monograde,0.24
ES,Region II,Nueva Vizcaya,103992,NUEVA VIZCAYA,Multigrade,0.17
ES,Region II,Nueva Vizcaya,103993,NUEVA VIZCAYA,Monograde,0.08
ES,Region II,Nueva Vizcaya,103994,NUEVA VIZCAYA,Monograde,0.02
ES,Region II,Nueva Vizcaya,103995,NUEVA VIZCAYA,Combined Monograde and Multigrade,0.31
ES,Region II,Nueva Vizcaya,103996,NUEVA VIZCAYA,Combined Monograde and Multigrade,0.31
ES,Region II,Nueva Vizcaya,103997,NUEVA VIZCAYA,Monograde,0.08
